total_wage,num_in_state,state
44342230468.0,524909,CALIFORNIA
19075889506.0,276814,TEXAS
20536919196.0,269620,NEW YORK
14197774484.0,202717,NEW JERSEY
10056536911.0,152277,ILLINOIS
7934125213.0,109395,MASSACHUSETTS
7192317529.0,104515,PENNSYLVANIA
7918248935.0,98125,WASHINGTON
6409117987.0,97271,GEORGIA
6369306058.0,97114,FLORIDA
6123247986.0,84657,VIRGINIA
5177437458.0,78283,MICHIGAN
5111244332.0,75700,NORTH CAROLINA
4794874541.0,72617,OHIO
3679021295.0,52349,MARYLAND
3482479709.0,47682,CONNECTICUT
3241893069.0,46293,MINNESOTA
2947964149.0,39641,ARIZONA
2116842588.0,32908,MISSOURI
2000102278.0,31049,WISCONSIN
2066499423.0,29825,COLORADO
1865507667.0,28488,INDIANA
1601752785.0,26019,TENNESSEE
1768739992.0,22360,OREGON
1596369157.0,20825,DISTRICT OF COLUMBIA
1192222460.0,17341,DELAWARE
1028256923.0,15790,IOWA
830529094.0,14009,ARKANSAS
796938274.0,12875,KANSAS
730979714.0,12081,UTAH
728478902.0,11969,SOUTH CAROLINA
759923638.0,11868,KENTUCKY
838502619.0,11177,RHODE ISLAND
611392174.0,10441,LOUISIANA
551439953.0,9764,OKLAHOMA
593285756.0,9388,ALABAMA
644780157.0,9378,NEW HAMPSHIRE
559704592.0,8728,NEBRASKA
443328800.0,6549,NEVADA
602087192.0,5010,NEW MEXICO
247394729.0,3844,IDAHO
241344154.0,3819,MISSISSIPPI
267904916.0,3676,MAINE
193002880.0,3254,HAWAII
195528038.0,2794,WEST VIRGINIA
127234577.0,2722,NA
194679045.0,2672,NORTH DAKOTA
113439304.0,1771,VERMONT
117690426.0,1738,SOUTH DAKOTA
83130153.0,1205,ALASKA
58386849.0,1196,PUERTO RICO
52881988.0,867,MONTANA
54932831.0,761,WYOMING
